size,sortA,sortB,sortC
1000,53808330,5003585,3923010
1000,9918710,4514858,1877199
1000,14115407,4913170,291281
1000,10244203,13009418,893392
1000,18560377,3248078,907566
1000,10815035,1567347,395869
1000,7966247,1040010,383651
1000,8444221,1344976,383162
1000,9859574,1375766,391470
1000,8678810,1243321,464780
2000,30669072,4314968,1220839
2000,27975698,2907924,1161704
2000,17456832,289326,377786
2000,14009354,340154,368988
2000,13681906,337710,232145
2000,13383295,189137,237032
2000,21696536,260492,272220
2000,17136227,220904,337221
2000,22908091,280529,353839
2000,31335206,278086,579630
3000,55027214,418350,513163
3000,42379454,320605,366545
3000,39093744,599667,497523
3000,33410341,352372,433989
3000,37730685,265868,368988
3000,33733388,301056,541509
3000,41356549,376809,520494
3000,35874500,319628,380230
3000,39033142,265379,356281
3000,42775323,711097,388049
4000,73648194,430568,520494
4000,58231308,289326,460870
4000,72807095,289815,429591
4000,68492615,285417,416884
4000,68493592,285905,427147
4000,63649332,288838,434478
4000,65703940,417372,627525
4000,66224923,716962,495569
4000,90265882,365568,484817
4000,62159205,336732,468200
5000,95434657,470644,654405
5000,138585810,361169,567411
5000,90549832,321582,558615
5000,84430484,322560,803956
5000,135156904,471622,1052229
5000,106054200,471622,858693
5000,104083166,325492,570833
5000,130493472,332823,521472
5000,115284294,325492,1530692
5000,183618562,870423,1584452
6000,171274301,479441,711586
6000,165072359,399289,669555
6000,156717085,422260,1227193
6000,162653161,394891,675421
6000,154853081,397335,971100
6000,144354741,392448,679819
6000,157521041,392936,807376
6000,157919842,563502,1007755
6000,177097481,716474,886062
6000,183769579,726737,764369
7000,202932556,471133,1058583
7000,236934256,476998,999447
7000,214692300,479930,797602
7000,212157763,452072,804445
7000,216239121,552750,800535
7000,240717001,660270,1359638
7000,218318164,594780,853806
7000,177017819,455494,988694
7000,176809621,632412,1303924
7000,195575264,499967,857715
8000,225936926,540043,1224749
8000,232141801,511697,912453
8000,258432370,553239,1054184
8000,236181128,512675,1020950
8000,230919007,789294,1061026
8000,224093938,514141,1023394
8000,230392159,536133,917340
8000,234817091,810309,3019843
8000,236843353,533201,956438
8000,222349671,524404,988205
9000,290842776,608953,1051740
9000,310703654,575232,1225238
9000,291423871,587938,1131891
9000,292126171,580118,1101102
9000,305154162,575720,1079598
9000,395560796,679819,1090350
9000,302871319,579630,1153884
9000,301450590,625570,1161215
9000,306229361,599179,1213998
9000,313882822,579142,1120651
10000,369562975,657826,1271667
10000,365505077,643164,1304412
10000,386474877,748730,1383586
10000,379442587,761436,1278509
10000,367172612,647075,1340089
10000,371002276,658804,1240388
10000,366027037,655383,1223772
10000,363110316,762414,1444187
10000,411016293,970611,2372768
10000,366193205,639743,1264336
11000,477675694,707188,1409000
11000,476483689,898768,1656295
11000,487378876,706699,1373811
11000,584717122,1112831,2365927
11000,547669677,748730,1373322
11000,486595935,717451,1433925
11000,498597110,743353,1346931
11000,455756786,847452,1905057
11000,488288396,1017529,2177766
11000,586609961,888505,1421218
12000,713316289,1235502,2576567
12000,748533454,1174411,2660140
12000,713310913,836701,1649453
12000,566758857,772677,1596670
12000,544558932,818129,1666069
12000,542755041,835723,1626972
12000,603633292,770234,1623550
12000,546236730,910986,1570768
12000,524600307,948130,1561482
12000,520372820,810798,1556106
13000,627500754,844032,1823928
13000,670491117,834257,1905057
13000,655629423,846964,1777988
