size,time
100,40328288
100,11651741
100,5746452
100,6684808
100,10415750
100,6526949
100,8676860
100,28844180
100,6772779
100,7321130
110,8788289
110,11893660
110,11310120
110,6224916
110,12129716
110,9160700
110,7471170
110,8584490
110,7605570
110,7988732
120,8670506
120,7729707
120,9603975
120,10451916
120,10645452
120,6398414
120,5862769
120,36240086
120,6541122
120,7952566
130,10678196
130,11846743
130,8761410
130,17566315
130,12882845
130,10358080
130,9708562
130,8923178
130,11223128
130,9390401
140,11066246
140,11482153
140,9987137
140,11167413
140,15216028
140,12703481
140,20195178
140,10974365
140,6081230
140,9126000
150,7088985
150,9271640
150,7163760
150,11090682
150,9354235
150,10485150
150,6384730
150,6014763
150,5259191
150,5839799
160,7726285
160,7754143
160,17945079
160,7061617
160,6593905
160,6706312
160,8164674
160,11494859
160,8555167
160,13460520
170,11957684
170,12591563
170,11623883
170,7834783
170,13204915
170,8417346
170,10032588
170,17424584
170,11545199
170,21587073
180,26891716
180,9982249
180,9715893
180,12532427
180,23565440
180,9996911
180,20029011
180,18368805
180,8898741
180,10432367
190,11490950
190,12089640
190,13285555
190,22567459
190,10577519
190,10143041
190,13032395
190,19053023
190,13853945
190,14197032
200,20928757
200,13568529
200,15885094
200,18756366
200,26946453
200,30107051
200,14213160
200,17674324
200,17009655
200,15305953
210,18660086
210,35312482
210,17041911
210,18090720
210,21696059
210,15346029
210,17547255
210,15187192
210,16644576
210,15214561
220,19914160
220,17946545
220,23773637
220,19516337
220,17129394
220,24615714
220,19696677
220,16258482
220,16977888
220,19485547
230,19824234
230,23196451
230,24600564
230,16617696
230,19661977
230,20916050
230,22499526
230,22432082
230,24307816
230,21649141
240,20685371
240,25180194
240,23182277
240,21893015
240,23141225
240,25264744
240,30963300
240,22383209
240,21083195
240,35706396
250,28698051
250,24776994
250,23841082
250,28402860
250,27161004
250,23176412
250,22806936
250,25565799
250,23158819
250,25916705
260,27481609
260,27299802
260,25636665
260,34570106
260,37368557
260,25114704
260,28032404
260,24077625
260,35289023
260,23321076
270,31057136
270,32211998
270,38984778
270,33040391
270,31377741
270,29788890
270,36600767
270,29058732
270,32926517
270,32163125
280,36187304
280,35063232
280,41227545
280,43321252
280,39286322
280,33344379
280,43642346
280,34753867
280,33303325
280,38514133
290,61389978
290,38602104
290,33732428
290,35705418
290,37577732
290,32716365
290,41649317
290,39890877
290,50209859
290,40390356
300,74243010
300,57761181
300,43014332
300,53424217
300,35547072
300,46648017
300,57647308
300,37776155
300,37058703
300,45377326
310,50473772
310,50987424
310,38362139
310,50377492
310,47545808
310,53934937
310,47133323
310,46424180
310,42010487
310,47942655
320,62995447
320,49156653
320,51180960
320,50742083
320,57978664
320,53294704
320,49182066
320,38999927
320,52060669
320,79538856
330,54546823
330,74684820
330,63741733
330,56402519
330,55991500
330,52309431
330,62532623
330,49184022
330,56714327
330,83044007
340,70730041
340,66450258
340,55049723
340,60211169
340,64545201
340,57264634
340,62914318
340,66392588
340,64547644
340,67210229
350,67411585
350,73846164
350,62565856
350,68319150
350,72810063
350,64501704
350,65105770
350,77494511
350,80572025
350,65530474
360,78708510
360,96395052
360,62755482
360,79812055
360,89026515
360,80205969
360,68160315
360,72616038
360,74782076
360,76645593
370,81130641
370,79081897
370,121109000
370,215208012
370,105509321
370,93888371
370,96405315
370,78436777
370,154421122
370,128259564
380,111244533
380,111855442
380,76936874
380,78841443
380,77170485
380,74026505
380,81079813
380,147763682
380,113839674
380,130143119
390,103363322
390,99072787
390,98884628
390,99306887
390,104269421
390,86541338
390,108362510
390,99814674
390,112519133
390,136213597
400,172062701
400,146959727
400,110913665
400,113739974
400,110709378
400,110122417
400,109945009
400,113718469
400,133872106
400,97205361
410,96941448
410,109780796
410,108430444
410,154375182
410,105198980
410,111111111
410,107761376
410,120176998
410,94396159
410,109820384
420,117153732
420,157523073
420,141773355
420,164499651
420,115237922
420,116163083
420,122291719
420,127756665
420,195283100
420,145031699
430,127679934
430,127085642
430,112960454
430,138156776
430,130287293
430,156635056
430,185795443
430,112655000
430,130250639
430,189453076
440,163738215
440,161919661
440,150873453
440,147762216
440,141535834
440,162160115
440,143004459
440,140809097
440,127592942
440,137099170
450,171796834
450,134441962
450,135295279
450,169265228
450,194960540
450,137922186
450,150386192
450,119774286
450,153207613
450,141645798
460,146614197
460,150917927
460,163590618
460,140367777
460,172536767
460,150811873
460,204338234
460,159618245
460,158651543
460,169367373
470,164947814
470,193554961
470,189281532
470,193088716
470,148819333
470,155247560
470,166603133
470,174996530
470,146687994
470,187177073
480,188858295
480,177923516
480,199124006
480,168759885
480,184415766
480,207651804
480,155286658
480,188763970
480,167489194
480,172960005
490,212204296
490,192137164
490,186543195
490,174549344
490,202478139
490,190431018
490,198531180
490,218763990
490,234503444
490,205670015
500,195612013
500,197449627
500,208411285
500,191224710
500,185928376
500,155715761
500,188380320
500,176421658
500,214852708
500,178600403
